 -------------------------------
 Request to Optimize MSX Geometry
 -------------------------------

 MSX optimization

 Energies in kcal/mol
 step             E1             E2            <E>          E1-E2            dE1            dE2    gr.norm(lo)    gr.norm(up)
    1-23238.74714231-23238.15543898-23238.45129064    -0.59170334 23238.74714231 23238.15543898     0.01715903     0.01715903
    2-23238.58772993-23238.28919879-23238.43846436    -0.29853113    -0.15941239     0.13375982     0.01923169     0.01923169
    3-23238.49110609-23238.48831367-23238.48970988    -0.00279242    -0.09662384     0.19911488     0.00462992     0.00462992
    4-23238.49630186-23238.49587516-23238.49608851    -0.00042671     0.00519577     0.00756148     0.00418016     0.00418016
    5-23238.50164197-23238.50153529-23238.50158863    -0.00010668     0.00534010     0.00566013     0.00413998     0.00413998
    6-23238.53619889-23238.52952847-23238.53286368    -0.00667042     0.03455692     0.02799318     0.00392972     0.00392972
    7-23240.05017103-23237.85195680-23238.95106391    -2.19821423     1.51397214    -0.67757167     0.01932164     0.01932164
    8-23238.62701826-23236.41960475-23237.52331151    -2.20741351    -1.42315276    -1.43235204     0.10768517     0.10768517
    9-23240.11557629-23237.91356563-23239.01457096    -2.20201066     1.48855802     1.49396088     0.00282325     0.00282325
   10-23240.32753628-23237.75927372-23239.04340500    -2.56826256     0.21195999    -0.15429191     0.00198166     0.00198166
   11-23238.81171299-23238.84953296-23238.83062297     0.03781997    -1.51582329     1.09025924     0.01147711     0.01147711
   12-23238.83688865-23238.83617956-23238.83653411    -0.00070909     0.02517566    -0.01335339     0.01060408     0.01060408
   13-23238.85447145-23238.85381884-23238.85414515    -0.00065261     0.01758280     0.01763928     0.00214002     0.00214002
   14-23238.85078797-23238.85815493-23238.85447145     0.00736696    -0.00368348     0.00433609     0.00087971     0.00087971
   15-23238.85533741-23238.85518054-23238.85525898    -0.00015688     0.00454944    -0.00297439     0.00087766     0.00087766
   16-23238.85564489-23238.85562607-23238.85563548    -0.00001883     0.00030748     0.00044553     0.00087068     0.00087068
   17-23238.85657988-23238.85645438-23238.85651713    -0.00012550     0.00093499     0.00082831     0.00085775     0.00085775
   18-23238.85855654-23238.85794158-23238.85824906    -0.00061496     0.00197665     0.00148720     0.00092418     0.00092418
   19-23238.85901462-23238.85834318-23238.85867890    -0.00067143     0.00045808     0.00040161     0.00089653     0.00089653
   20-23238.85944132-23238.85841221-23238.85892677    -0.00102911     0.00042671     0.00006903     0.00081495     0.00081495
   21-23238.85903972-23238.85908364-23238.85906168     0.00004393    -0.00040161     0.00067143     0.00081101     0.00081101
   22-23239.08289100-23238.73959965-23238.91124533    -0.34329135     0.22385129    -0.11948399     0.00255985     0.00255985
   23-23238.80023585-23238.45384461-23238.62704023    -0.34639124    -0.28265515    -0.28575505     0.04446941     0.04446941
   24-23239.08612895-23238.73968751-23238.91290823    -0.34644144     0.28589310     0.28584290     0.00025120     0.00025120
   25-23239.02361023-23238.78444145-23238.90402584    -0.23916878    -0.06251872     0.04475394     0.00058055     0.00058055
   26-23238.88345609-23238.88405850-23238.88375730     0.00060241    -0.14015414     0.09961705     0.00189562     0.00189562
   27-23238.88393927-23238.88392672-23238.88393300    -0.00001255     0.00048318    -0.00013178     0.00168687     0.00168687
   28-23238.88451031-23238.88438481-23238.88444756    -0.00012550     0.00057103     0.00045808     0.00016484     0.00016484
   29-23238.88452286-23238.88439108-23238.88445697    -0.00013178     0.00001255     0.00000628     0.00016320     0.00016320
   30-23238.88436598-23238.88451658-23238.88444128     0.00015060    -0.00015688     0.00012550     0.00016260     0.00016260
   31-23238.88442873-23238.88450403-23238.88446638     0.00007530     0.00006275    -0.00001255     0.00016166     0.00016166
   32-23238.88482406-23238.88458561-23238.88470484    -0.00023845     0.00039533     0.00008158     0.00015705     0.00015705
   33-23238.88492446-23238.88454796-23238.88473621    -0.00037651     0.00010040    -0.00003765     0.00097753     0.00097753
   34-23238.88510017-23238.88463581-23238.88486799    -0.00046436     0.00017570     0.00008785     0.00014154     0.00014154
   35-23238.88461071-23238.88499976-23238.88480524     0.00038906    -0.00048946     0.00036396     0.00013931     0.00013931
   36-23238.88484916-23238.88484289-23238.88484602    -0.00000628     0.00023845    -0.00015688     0.00013877     0.00013877
   37-23238.88485544-23238.88486171-23238.88485857     0.00000628     0.00000628     0.00001883     0.00013789     0.00013789
   38-23238.88489309-23238.88488681-23238.88488995    -0.00000628     0.00003765     0.00002510     0.00013727     0.00013727
   39-23238.88489936-23238.88489936-23238.88489936     0.00000000     0.00000628     0.00001255     0.00013647     0.00013647
   40-23238.88491191-23238.88490564-23238.88490878    -0.00000628     0.00001255     0.00000628     0.00013568     0.00013568
   41-23238.88491819-23238.88491819-23238.88491819     0.00000000     0.00000628     0.00001255     0.00013490     0.00013490
   42-23238.88493701-23238.88493074-23238.88493388    -0.00000628     0.00001883     0.00001255     0.00013412     0.00013412
   43-23238.88494329-23238.88494329-23238.88494329     0.00000000     0.00000628     0.00001255     0.00013334     0.00013334
   44-23238.88495584-23238.88495584-23238.88495584     0.00000000     0.00001255     0.00001255     0.00013258     0.00013258
   45-23238.88496211-23238.88496211-23238.88496211     0.00000000     0.00000628     0.00000628     0.00013181     0.00013181
   46-23238.88497466-23238.88497466-23238.88497466     0.00000000     0.00001255     0.00001255     0.00013105     0.00013105
   47-23238.88498721-23238.88498721-23238.88498721     0.00000000     0.00001255     0.00001255     0.00013029     0.00013029
   48-23238.88499976-23238.88499349-23238.88499663    -0.00000628     0.00001255     0.00000628     0.00012954     0.00012954
   49-23238.88500604-23238.88500604-23238.88500604     0.00000000     0.00000628     0.00001255     0.00012880     0.00012880
   50-23238.88501859-23238.88501859-23238.88501859     0.00000000     0.00001255     0.00001255     0.00012807     0.00012807
   51-23238.88502486-23238.88502486-23238.88502486     0.00000000     0.00000628     0.00000628     0.00012733     0.00012733
   52-23238.88503741-23238.88503741-23238.88503741     0.00000000     0.00001255     0.00001255     0.00012660     0.00012660
   53-23238.88504997-23238.88504369-23238.88504683    -0.00000628     0.00001255     0.00000628     0.00012587     0.00012587
   54-23238.88505624-23238.88505624-23238.88505624     0.00000000     0.00000628     0.00001255     0.00012515     0.00012515
   55-23238.88506879-23238.88506879-23238.88506879     0.00000000     0.00001255     0.00001255     0.00012443     0.00012443
   56-23238.88508134-23238.88507507-23238.88507820    -0.00000628     0.00001255     0.00000628     0.00012372     0.00012372
   57-23238.88508134-23238.88508762-23238.88508448     0.00000628     0.00000000     0.00001255     0.00012302     0.00012302
   58-23238.88510017-23238.88509389-23238.88509703    -0.00000628     0.00001883     0.00000628     0.00012232     0.00012232
   59-23238.88510644-23238.88510644-23238.88510644     0.00000000     0.00000628     0.00001255     0.00012163     0.00012163
   60-23238.88511272-23238.88511272-23238.88511272     0.00000000     0.00000628     0.00000628     0.00012093     0.00012093
   61-23238.88512527-23238.88511899-23238.88512213    -0.00000628     0.00001255     0.00000628     0.00012024     0.00012024
   62-23238.88513154-23238.88513154-23238.88513154     0.00000000     0.00000628     0.00001255     0.00011956     0.00011956
   63-23238.88513782-23238.88513782-23238.88513782     0.00000000     0.00000628     0.00000628     0.00011888     0.00011888
